Comment,Designator,Footprint,LCSC Part #,Manufacturer Part,Qty,Assembly
ICM-45686,U4,LGA-14_L3.0-W2.5-P0.50-TL,C22459454,,1,SMT
MS561101BA03,U5,SENSORS-SMD_MS5611-01BA03,C15639,,1,SMT
SAM-M10Q-00B,U6,LCC-20_L15.5-W15.5-P1.90_SAM-M10Q-00B,C5443880,SAM-M10Q-00B,1,SMT
TPS259570DSGR,U7,M3_TPS2595_DSG,C1849463,,1,SMT
AP63200WU-7,U8,M3_AP63200_TSOT26,C2071868,,1,SMT
TPS259470LRPWR,U9,M3_TPS25947_RPW,C3662793,,1,SMT
TPS2553DBVR,U10,M3_TPS2553_DBV,C55266,,1,SMT
TPS2121RUXR,U11,M3_TPS2121_RUX,C485916,,1,SMT
TXU0202DCUR,U12,M3_TXU0202_DCU,C5186957,TXU0202DCUR,1,SMT
TPS70933DBVR,U13,M3_TPS709_DBV,C89347,TPS70933DBVR,1,SMT
25MHz CL8pF,Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C1985619,,1,SMT
